starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 04 20:14:26 2014	1393989266	1	1779	1779	0
Tue Mar 04 20:14:26 2014	1393989266	1	1783	1784	0
Tue Mar 04 20:14:26 2014	1393989266	1	1788	1789	0
Tue Mar 04 20:14:26 2014	1393989266	4	1791	1795	0
Tue Mar 04 20:14:26 2014	1393989266	1	1801	1802	0
Tue Mar 04 20:14:26 2014	1393989266	1	1811	1811	0
Tue Mar 04 20:14:26 2014	1393989266	2	1811	1812	0
Tue Mar 04 20:14:26 2014	1393989266	4	1813	1817	0
Tue Mar 04 20:14:26 2014	1393989266	1	1827	1827	0
Tue Mar 04 20:14:26 2014	1393989266	1	1831	1832	0
Tue Mar 04 20:14:26 2014	1393989266	1	1836	1837	0
Tue Mar 04 20:14:26 2014	1393989266	1	1840	1841	0
Tue Mar 04 20:14:26 2014	1393989266	2	1840	1842	0
Tue Mar 04 20:14:26 2014	1393989266	2	1847	1849	0
Tue Mar 04 20:14:26 2014	1393989266	2	1852	1854	0
Tue Mar 04 20:14:26 2014	1393989266	2	1856	1859	0
Tue Mar 04 20:14:26 2014	1393989266	3	1861	1864	0
Tue Mar 04 20:14:26 2014	1393989266	3	1869	1872	0
Tue Mar 04 20:14:26 2014	1393989266	1	1880	1881	0
Tue Mar 04 20:14:26 2014	1393989266	2	1884	1886	0
Tue Mar 04 20:14:26 2014	1393989266	2	1889	1892	0
Tue Mar 04 20:14:26 2014	1393989266	4	1892	1896	0
Tue Mar 04 20:14:26 2014	1393989266	1	1901	1902	0
Tue Mar 04 20:14:26 2014	1393989266	7	1899	1906	0
Tue Mar 04 20:14:26 2014	1393989266	1	1912	1913	0
Tue Mar 04 20:14:26 2014	1393989266	8	1907	1915	0
Tue Mar 04 20:14:26 2014	1393989266	8	1911	1919	0
Tue Mar 04 20:14:26 2014	1393989266	8	1915	1923	0
Tue Mar 04 20:14:26 2014	1393989266	8	1921	1929	0
Tue Mar 04 20:14:26 2014	1393989266	8	1927	1935	0
Tue Mar 04 20:14:26 2014	1393989266	8	1932	1940	0
Tue Mar 04 20:14:26 2014	1393989266	8	1936	1944	0
Tue Mar 04 20:14:26 2014	1393989266	8	1942	1950	0
Tue Mar 04 20:14:26 2014	1393989266	7	1948	1955	0
Tue Mar 04 20:14:26 2014	1393989266	8	1951	1959	0
Tue Mar 04 20:14:26 2014	1393989266	8	1959	1967	0
Tue Mar 04 20:14:26 2014	1393989266	2	1972	1974	0
Tue Mar 04 20:14:26 2014	1393989266	8	1968	1976	0
Tue Mar 04 20:14:26 2014	1393989266	8	1972	1980	0
Tue Mar 04 20:14:26 2014	1393989266	8	1977	1985	0
Tue Mar 04 20:14:26 2014	1393989266	8	1983	1991	0
Tue Mar 04 20:14:26 2014	1393989266	8	1989	1997	0
Tue Mar 04 20:14:26 2014	1393989266	8	1993	2001	0
Tue Mar 04 20:14:26 2014	1393989266	8	1997	2005	0
Tue Mar 04 20:14:26 2014	1393989266	8	2001	2009	0
Tue Mar 04 20:14:26 2014	1393989266	8	2005	2012	0
Tue Mar 04 20:14:26 2014	1393989266	8	2008	2016	0
